,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,1.0,14700.0,0.75,10000.0,0.5,1800.0,1.625,7500.0,0.5,8800.0,1.0,20600.0,0.5,486.67
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,1.0,8300.0,0.75,14600.0,0.5,7700.0,1.625,600.0,0.5,17200.0,1.0,14000.0,0.5,476.762
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15800.0,0.5,7100.0,1.0,11000.0,1.25,10000.0,1.5,1300.0,1.0,1700.0,1.125,11700.0,0.5,3100.0,1.375,5000.0,1.125,4700.0,0.5,386.495
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.5,17000.0,1.0,3000.0,1.25,11400.0,1.5,9300.0,1.0,3500.0,1.125,1000.0,0.5,2900.0,1.375,10500.0,1.125,11300.0,0.5,384.161
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,2.0,3700.0,0.5,5200.0,0.5,3100.0,1.75,1100.0,0.625,17000.0,0.5,2200.0,2.875,3300.0,0.5,26500.0,0.5,456.846
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,2.0,4100.0,0.5,13100.0,0.5,9500.0,1.75,24800.0,0.625,6200.0,0.5,600.0,2.875,6900.0,0.5,3200.0,0.5,443.33
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.5,8600.0,0.875,1500.0,1.125,11000.0,0.5,11300.0,0.75,2900.0,1.0,7600.0,0.875,5900.0,0.875,3500.0,0.5,8600.0,0.875,1600.0,1.875,401.305
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.5,8800.0,0.875,1400.0,1.125,4200.0,0.5,5400.0,0.75,5200.0,1.0,7200.0,0.875,800.0,0.875,11400.0,0.5,5700.0,0.875,4400.0,1.875,406.058
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1.375,5300.0,1.375,3000.0,1.375,3200.0,3.5,19600.0,1.875,390.452
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8800.0,1.375,44700.0,1.375,3400.0,1.375,2600.0,3.5,4400.0,1.875,467.067
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,0.75,8400.0,2.25,6000.0,2.875,29400.0,0.5,469.428
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.75,8300.0,2.25,31100.0,2.875,23000.0,0.5,464.199
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.5,13200.0,0.75,2800.0,0.75,300.0,2.25,9000.0,0.75,6200.0,0.5,15300.0,2.75,22000.0,0.5,430.669
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,0.5,10300.0,0.75,14000.0,0.75,3000.0,2.25,7300.0,0.75,12700.0,0.5,3100.0,2.75,11200.0,0.5,414.844
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33300.0,2.0,500.0,0.75,11000.0,1.25,2000.0,1.25,1100.0,1.25,4300.0,0.875,1200.0,0.875,459.572
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,2.0,1500.0,0.75,3200.0,1.25,3500.0,1.25,7800.0,1.25,43200.0,0.875,3900.0,0.875,508.805
