,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,y
2694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,0.75,1800.0,0.75,5800.0,0.75,3300.0,0.75,10400.0,0.875,1100.0,0.75,15100.0,0.5,2200.0,0.5,1100.0,0.625,7700.0,1.5,3600.0,0.5,1600.0,0.75,439.348
5140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,0.5,10300.0,0.5,3900.0,0.5,17400.0,0.875,700.0,0.5,1900.0,3.625,1000.0,0.5,15300.0,1.25,419.01
2568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,1.25,7900.0,1.25,20700.0,1.25,7000.0,1.875,22100.0,0.875,4500.0,0.875,449.064
3671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.875,41700.0,1.75,1000.0,1.625,5300.0,2.0,5000.0,0.75,500.0,0.875,4100.0,0.75,504.869
7427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12900.0,0.5,1100.0,0.5,1400.0,0.5,3600.0,1.875,10600.0,0.625,4800.0,0.625,5900.0,1.25,1600.0,1.625,7200.0,0.5,19800.0,0.625,452.14300000000003
3993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10700.0,2.375,5800.0,2.0,6200.0,1.5,6200.0,1.0,14400.0,1.25,28700.0,1.25,439.07800000000003
8082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.5,7400.0,1.0,17200.0,1.0,12300.0,1.5,9800.0,0.875,4000.0,2.125,12500.0,1.125,3100.0,0.75,386.49
5130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,1.0,6600.0,0.625,14600.0,1.0,6300.0,0.625,1400.0,0.75,2300.0,0.625,3300.0,0.625,5200.0,0.875,7200.0,1.75,3800.0,1.0,468.21
1717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,1.5,6600.0,0.5,6000.0,1.25,1500.0,0.5,800.0,0.625,1700.0,1.0,3800.0,1.375,900.0,0.875,32200.0,0.5,7200.0,1.375,445.244
6921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40900.0,1.0,3200.0,0.625,10000.0,2.75,5100.0,0.75,9400.0,4.25,361.657
