,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,y
8418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.25,10400.0,0.75,16700.0,1.625,24700.0,0.75,31500.0,0.75,33900.0,1.125,44900.0,0.75,53000.0,0.75,70000.0,1.375,-0.28958012045357706
4613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24300.0,1.125,47100.0,1.375,58400.0,0.875,61200.0,2.25,62200.0,2.0,63900.0,0.875,66400.0,0.5,69900.0,0.875,1.7813113230082727
6683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500.0,0.75,22300.0,1.75,24900.0,4.0,56300.0,0.875,66200.0,2.125,-1.8668092293409693
8315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,1.375,18700.0,1.5,22400.0,2.0,27400.0,1.0,34300.0,1.375,34900.0,0.75,49400.0,1.375,-0.3961987329129061
9470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.5,4400.0,0.5,20600.0,0.5,24000.0,0.5,39900.0,0.5,41700.0,2.25,48200.0,0.5,49300.0,0.5,52800.0,0.5,71600.0,3.375,-0.4872525844292668
4532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21400.0,1.25,25400.0,1.125,35100.0,1.0,35700.0,0.625,36100.0,0.625,44600.0,1.25,48200.0,0.625,48700.0,0.875,57700.0,0.875,60800.0,0.5,70700.0,1.25,-0.9663878087902878
2739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.75,8700.0,0.625,16600.0,1.0,26700.0,0.75,30000.0,0.875,42200.0,0.75,50200.0,0.875,54500.0,0.875,62400.0,1.75,70200.0,0.75,-0.5274615501986003
2571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6700.0,0.75,12100.0,0.875,13700.0,0.625,17300.0,0.5,19300.0,0.75,34200.0,0.75,36700.0,2.375,43100.0,0.625,44100.0,0.625,44500.0,1.125,0.5861970952707376
6755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.875,3200.0,1.875,34100.0,1.0,34800.0,0.75,49100.0,1.0,60100.0,0.75,65300.0,0.5,69500.0,0.625,0.6448243614892489
4061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.625,5900.0,3.125,6700.0,0.875,9800.0,0.625,34500.0,0.625,37500.0,0.5,41600.0,1.125,64600.0,1.0,69700.0,0.5,0.5407998758537486
