,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,y
2694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,1.0,30900.0,1.25,36300.0,1.0,52000.0,1.0,57800.0,0.5,61100.0,1.125,66500.0,0.75,67600.0,0.75,0.9558601676662201
5140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,2.75,17200.0,0.75,17600.0,2.625,41400.0,1.0,47900.0,1.0,56400.0,1.125,66300.0,0.625,-1.8193367084649168
2568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,2.0,21500.0,1.75,33700.0,0.625,42000.0,1.0,46700.0,0.75,56500.0,1.5,67500.0,0.625,-0.18373974604139726
3671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.0,2.375,27100.0,2.0,31900.0,0.75,38500.0,1.5,59800.0,1.625,0.10187361726206096
7427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.75,12600.0,1.0,27100.0,0.625,33700.0,1.0,34100.0,0.625,38900.0,1.75,51500.0,0.5,56300.0,0.5,68300.0,2.75,68700.0,0.5,-1.3152978665951478
3993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.5,2700.0,1.0,7300.0,0.5,17800.0,0.5,28700.0,0.75,35400.0,1.0,52100.0,1.0,56000.0,1.125,59100.0,2.0,66700.0,1.625,-0.1411960661306178
8082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.5,5700.0,1.0,7800.0,0.75,23900.0,1.375,27900.0,1.375,41200.0,0.5,47400.0,1.375,49300.0,2.375,54500.0,0.5,0.26919479739896324
5130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6900.0,0.75,16400.0,0.75,19600.0,1.0,22200.0,1.0,26900.0,0.875,40600.0,1.0,45900.0,1.875,52200.0,0.5,53100.0,1.0,58800.0,0.5,67700.0,0.5,0.056216985162687846
1717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0,0.625,10200.0,1.125,29700.0,1.5,33600.0,0.625,41500.0,0.875,44200.0,0.875,55600.0,0.75,68300.0,0.75,1.1703944559967923
6921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,3.375,38900.0,1.125,43200.0,3.125,63100.0,1.125,-0.9090576059836908
